"_id","date","no2C","timestampSensor","o3","pm10","pressure","co","baterryVolts","no2","idStation","serial","pm1","coC","pm2_5","temperature","humidity","luminosity","batteryCurrent","o3C","timestamp","batteryLevel"
"ObjectId(""61695f315d3b3c009ca7aad9"")","NumberLong(1634295595372)","0.065","1634302361","122.135462965562","3.41","94165.125","0.0","4.17","115.286836393636","Educacion","154BAAE80593E46D","2.41","0.0","3.05","20.82","56.155","9798","0","0.066","NumberLong(1634295595372)","97"
"ObjectId(""616960cb5d3b3c009ca7aadb"")","NumberLong(1634296011472)","0.001","1634302779","116.403250758172","2.84","94134.391","0.0","4.1","1.77089608226028","Poligono","0E23A2E80593E429","1.86","0.0","2.61","21.18","53.087","8747","0","0.063","NumberLong(1634296011472)","88"
"ObjectId(""616960d35d3b3c009ca7aadd"")","NumberLong(1634296018972)","0.037","1634302785","0.0","2.67","94201.828","167.835115058054","4.26","64.9653149977652","Gobierno","765A67057C1054A4","1.4","0.157","1.96","23.92","60.118","11251","168","0.0","NumberLong(1634296018972)","100"
"ObjectId(""6169661e5d3b3c009ca7aadf"")","NumberLong(1634297373972)","0.066","1634304156","124.987425249228","11.92","94131.047","0.0","4.17","116.270586241428","Educacion","154BAAE80593E46D","3.79","0.0","4.95","22.71","50.24","9160","0","0.068","NumberLong(1634297373972)","95"
"ObjectId(""616967d65d3b3c009ca7aae1"")","NumberLong(1634297814172)","0.031","1634304586","0.0","11.8","94177.125","166.514975688409","4.26","54.348434655898","Gobierno","765A67057C1054A4","1.82","0.156","2.51","24.29","54.011","9176","123","0.0","NumberLong(1634297814172)","100"
"ObjectId(""616967d75d3b3c009ca7aae3"")","NumberLong(1634297814972)","0.0","1634304580","136.197342117249","4.51","94107.0","0.0","4.11","0.0","Poligono","0E23A2E80593E429","2.33","0.0","3.42","22.24","48.444","9638","0","0.074","NumberLong(1634297814972)","88"
"ObjectId(""61696d235d3b3c009ca7aae5"")","NumberLong(1634299171572)","0.064","1634305956","115.515739434412","27.1","94092.703","0.0","4.17","112.473213768251","Educacion","154BAAE80593E46D","2.54","0.0","3.51","23.31","47.527","9219","0","0.063","NumberLong(1634299171572)","96"
"ObjectId(""61696ece5d3b3c009ca7ab05"")","NumberLong(1634299598672)","0.043","1634306380","0.0","10.85","94141.75","158.530374454803","4.24","75.1434825781683","Gobierno","765A67057C1054A4","1.25","0.149","1.79","25.14","51.14","8853","0","0.0","NumberLong(1634299598672)","100"
"ObjectId(""61696ecf5d3b3c009ca7ab07"")","NumberLong(1634299599872)","0.0","1634306379","97.1650164903543","4.21","94071.938","0.0","4.11","0.0","Poligono","0E23A2E80593E429","1.84","0.0","2.83","23.29","45.922","9399","0","0.053","NumberLong(1634299599872)","89"
"ObjectId(""6169743c5d3b3c009ca7ab09"")","NumberLong(1634300988772)","0.055","1634307761","95.2065825688183","5.84","94049.875","0.0","4.18","96.515005565039","Educacion","154BAAE80593E46D","2.23","0.0","3.4","23.61","44.776","8811","0","0.052","NumberLong(1634300988772)","96"
"ObjectId(""616975de5d3b3c009ca7ab0b"")","NumberLong(1634301406172)","0.058","1634308176","0.0","2.22","94084.922","71.1279822460758","4.24","101.132402851256","Gobierno","765A67057C1054A4","1.25","0.067","1.81","25.62","44.561","8310","0","0.0","NumberLong(1634301406172)","100"
"ObjectId(""616975ec5d3b3c009ca7ab0d"")","NumberLong(1634301420772)","0.0","1634308184","120.515700475659","2.84","94009.922","8.52435548061418","4.12","0.0","Poligono","0E23A2E80593E429","1.33","0.008","2.02","24.28","39.408","7661","0","0.066","NumberLong(1634301420772)","89"
"ObjectId(""61697b3d5d3b3c009ca7ab0f"")","NumberLong(1634302781772)","0.061","1634309556","102.158744922751","3.52","93983.898","0.0","4.18","106.656143047679","Educacion","154BAAE80593E46D","1.83","0.0","2.78","24.48","39.167","10244","0","0.056","NumberLong(1634302781772)","97"
"ObjectId(""61697cdf5d3b3c009ca7ab2f"")","NumberLong(1634303199572)","0.043","1634309982","0.0","12.45","94011.211","19.0895665978208","4.24","74.9011809532109","Gobierno","765A67057C1054A4","1.04","0.018","1.5","25.69","41.033","7712","0","0.0","NumberLong(1634303199572)","100"
"ObjectId(""61697cf25d3b3c009ca7ab31"")","NumberLong(1634303217972)","0.0","1634309978","125.567293435923","5.84","93943.773","0.0","4.12","0.0","Poligono","0E23A2E80593E429","1.38","0.0","2.53","25.08","35.682","3354","0","0.069","NumberLong(1634303217972)","90"
"ObjectId(""616982375d3b3c009ca7ab33"")","NumberLong(1634304567372)","0.043","1634311356","160.749868373201","5.88","93916.711","0.0","4.16","75.2843884910186","Educacion","154BAAE80593E46D","2.04","0.0","3.09","23.87","37.161","7062","0","0.088","NumberLong(1634304567372)","96"
"ObjectId(""616983ea5d3b3c009ca7ab35"")","NumberLong(1634305002572)","0.0","1634311784","197.07338994093","3.34","93901.766","0.0","4.12","0.0","Poligono","0E23A2E80593E429","1.12","0.0","1.9","24.14","35.98","2023","0","0.108","NumberLong(1634305002572)","90"
"ObjectId(""616983f65d3b3c009ca7ab37"")","NumberLong(1634305014172)","0.04","1634311787","0.0","9.02","93971.016","123.19578849479","4.23","69.7741428258021","Gobierno","765A67057C1054A4","0.74","0.116","1.19","25.14","39.397","5601","0","0.0","NumberLong(1634305014172)","100"
"ObjectId(""616989475d3b3c009ca7ab39"")","NumberLong(1634306375872)","0.042","1634313159","147.759335395202","3.3","93888.516","0.0","4.17","73.432399277265","Educacion","154BAAE80593E46D","2.19","0.0","2.83","24.19","35.634","7011","0","0.081","NumberLong(1634306375872)","96"
"ObjectId(""61698afd5d3b3c009ca7ab5b"")","NumberLong(1634306813173)","0.0","1634313584","184.262938716815","9.65","93860.719","0.0","4.12","0.0","Poligono","0E23A2E80593E429","1.21","0.0","2.28","24.07","34.331","1775","0","0.101","NumberLong(1634306813173)","89"
"ObjectId(""61698afd5d3b3c009ca7ab59"")","NumberLong(1634306813072)","0.049","1634313582","0.0","29.34","93939.344","159.491815974064","4.23","85.5736132928587","Gobierno","765A67057C1054A4","1.44","0.15","2.32","24.69","37.288","5103","0","0.0","NumberLong(1634306813072)","100"
"ObjectId(""616990505d3b3c009ca7ab5d"")","NumberLong(1634308175972)","0.057","1634314956","147.623795812091","5.17","93837.094","0.0","4.17","99.5668396808873","Educacion","154BAAE80593E46D","1.69","0.0","2.65","24.3","32.634","6837","0","0.081","NumberLong(1634308175972)","95"
"ObjectId(""616991ef5d3b3c009ca7ab5f"")","NumberLong(1634308590972)","0.039","1634315375","0.0","6.14","93915.461","192.475615072214","4.23","68.1174520266016","Gobierno","765A67057C1054A4","1.2","0.181","1.95","24.58","34.194","4689","0","0.0","NumberLong(1634308590972)","100"
"ObjectId(""616991f75d3b3c009ca7ab61"")","NumberLong(1634308599872)","0.0","1634315385","209.647148470964","1.65","93825.109","0.0","4.11","0.0","Poligono","0E23A2E80593E429","1.11","0.0","1.53","24.18","31.796","1655","0","0.115","NumberLong(1634308599872)","89"
"ObjectId(""6169975b5d3b3c009ca7ab63"")","NumberLong(1634309979272)","0.046","1634316758","164.038607059042","4.3","93825.125","0.0","4.16","80.3581468297496","Educacion","154BAAE80593E46D","2.09","0.0","2.84","24.24","32.771","6668","0","0.09","NumberLong(1634309979272)","95"
"ObjectId(""616998ff5d3b3c009ca7ab85"")","NumberLong(1634310399672)","0.0","1634317175","202.403838374561","4.19","93816.156","0.0","4.11","0.0","Poligono","0E23A2E80593E429","1.57","0.0","2.67","24.08","33.504","1602","0","0.111","NumberLong(1634310399672)","89"
"ObjectId(""616999085d3b3c009ca7ab87"")","NumberLong(1634310408572)","0.041","1634317176","0.0","5.58","93882.0","178.689777747849","4.23","71.6260381873235","Gobierno","765A67057C1054A4","1.33","0.168","2.3","24.41","36.933","4390","0","0.0","NumberLong(1634310408572)","100"
"ObjectId(""61699e645d3b3c009ca7ab89"")","NumberLong(1634311780672)","0.047","1634318557","165.968202635802","5.19","93831.953","0.0","4.15","82.1580029484857","Educacion","154BAAE80593E46D","3.14","0.0","3.97","24.07","34.172","6624","0","0.091","NumberLong(1634311780672)","95"
"ObjectId(""6169a00e5d3b3c009ca7ab8b"")","NumberLong(1634312206172)","0.0","1634318975","213.499616117485","3.8","93811.68","0.0","4.11","0.0","Poligono","0E23A2E80593E429","2.51","0.0","3.29","23.85","32.923","1867","0","0.117","NumberLong(1634312206172)","89"
"ObjectId(""6169a0105d3b3c009ca7ab8d"")","NumberLong(1634312208672)","0.036","1634318979","0.0","18.9","93890.016","177.844524411819","4.22","62.9684748265279","Gobierno","765A67057C1054A4","1.56","0.167","2.45","24.07","37.338","4070","0","0.0","NumberLong(1634312208672)","100"
